Solubility of oxygen in water at various temperatures and pressures and a specific conductance of 1 microsiemens/cm
[Solubility shown in milligrams per liter. Values based on published equations by Benson and Krause (1980 and 1984).
 deg C - degrees Celsius; atm - atmospheres]

Results from DOTABLES program at https://water.usgs.gov/software/DOTABLES/.
Table generated Thursday 27-Jan-2022 20:36 EST

Temp.,Barometric Pressure (atm),
(deg C),0.5,0.6,0.7,0.8,0.9,1.0,1.1,
0,7.27,8.74,10.21,11.68,13.15,14.62,16.09,
1,7.07,8.50,9.93,11.36,12.79,14.22,15.65,
2,6.87,8.26,9.65,11.05,12.44,13.83,15.22,
3,6.68,8.04,9.39,10.75,12.11,13.46,14.82,
4,6.50,7.83,9.15,10.47,11.79,13.11,14.43,
5,6.33,7.62,8.91,10.20,11.48,12.77,14.06,
6,6.17,7.43,8.68,9.94,11.19,12.45,13.70,
7,6.01,7.24,8.46,9.69,10.91,12.14,13.36,
8,5.86,7.06,8.25,9.45,10.65,11.84,13.04,
9,5.72,6.89,8.05,9.22,10.39,11.56,12.73,
10,5.58,6.72,7.86,9.00,10.15,11.29,12.43,
11,5.44,6.56,7.68,8.79,9.91,11.03,12.14,
12,5.32,6.41,7.50,8.59,9.68,10.78,11.87,
13,5.19,6.26,7.33,8.40,9.47,10.54,11.61,
14,5.07,6.12,7.17,8.21,9.26,10.31,11.35,
15,4.96,5.98,7.01,8.03,9.06,10.08,11.11,
16,4.85,5.85,6.86,7.86,8.87,9.87,10.87,
17,4.74,5.73,6.71,7.70,8.68,9.66,10.65,
18,4.64,5.60,6.57,7.54,8.50,9.47,10.43,
19,4.54,5.49,6.43,7.38,8.33,9.28,10.22,
20,4.44,5.37,6.30,7.23,8.16,9.09,10.02,
21,4.35,5.26,6.17,7.09,8.00,8.91,9.83,
22,4.26,5.15,6.05,6.95,7.85,8.74,9.64,
23,4.17,5.05,5.93,6.81,7.70,8.58,9.46,
24,4.08,4.95,5.82,6.68,7.55,8.42,9.28,
25,4.00,4.85,5.71,6.56,7.41,8.26,9.12,
26,3.92,4.76,5.60,6.44,7.27,8.11,8.95,
27,3.84,4.67,5.49,6.32,7.14,7.97,8.79,
28,3.76,4.58,5.39,6.20,7.02,7.83,8.64,
29,3.69,4.49,5.29,6.09,6.89,7.69,8.49,
30,3.62,4.40,5.19,5.98,6.77,7.56,8.35,
